place,city,country
University of Geneva,Geneva,CH
49,Praha,CZ
Pusan National University Hospital,Busan,KR
medinfo@wyeth.com,,
medinfoDEU@wyeth.com,,
New York,NY,US
Kantonsspital Graubünden,,
Georgetown University Hospital,Washington,US
Department of Anaesthesiology and Pain Medicine,Bern,CH
University Hospital Bern,Bern,CH
Herzchirurgie University Hospital Basel,Basel,CH
University Hospital,Basel,CH
National Institutes of Health Clinical Center,Bethesda,US
National Institutes of Health Clinical Center (CC),,
Sandoz,,
University Hospital Basel,CHBasel,
Kantonsspital Aarau,Aarau,CH
Spitalnetz Bern Aarberg,Aarberg,CH
Bezirksspital Affoltern,Affoltern am Albis,CH
Altdorf,Altdorf,CH
St. Claraspital,Basel,CH
Universitätsspital Basel,Basel,CH
Istituto oncologico della Svizzera italiana,Bellinzona,CH
Bern University Hospital,Bern,CH
Spitalnetz Bern,Bern,CH
Zieglerspital Bern,Bern,CH
Spitalzentrum Biel - Bienne,Biel,CH
Kantonsspital Bruderholz,Bruderholz,CH
Regionsspital Emmental,Burgdorf,CH
Private practise Dr. Mannhart,Churwalden,CH
Kantonsspital Chur,Chur,CH
Hôpital du Jura,Delémont,CH
Spital Dornach,Dornach,CH
Regionalspital Einsiedeln,Einsiedeln,CH
Hôpitaux Universitaires de Genève,Geneva,CH
Spital Grabs,Grabs,CH
See-Spital Horgen,Horgen,CH
Spital Zimmerberg,Horgen,CH
Fmi Spital Interlaken,Interlaken,CH
Spital Lachen,Lachen,CH
Spital Region Oberaargau,Langenthal,CH
Kantonsspital Laufen,Laufen,CH
CHUV,Lausanne,CH
Kantonsspital Liestal,Liestal,CH
Hirslandenklinik St. Anna,Luzern,CH
Kantonsspital Luzern,Luzern,CH
Luzern,Luzern,CH
Kreisspital Männedorf,Männedorf,CH
Kantonsspital Münsterlingen,Münsterlingen,CH
Kantonsspital Olten,Olten,CH
Gesundheitszentrum Fricktal,Rheinfelden,CH
Kantonsspital Obwalden,Sarnen,CH
Spital Limmattal,Schlieren,CH
Spital Schwyz,Schwyz,CH
Privatpraxis Dr. H.J. Poths,Seuzach,CH
Centre hospitalier du centre du Valais,Sion,CH
Bürgerspital Solothurn,Solothurn,CH
Kantonsspital St. Gallen,St. Gallen,CH
Kantonsspital Nidwalden,Stans,CH
Thun Spital STS AG,Thun,CH
Spital Uster,Uster,CH
Regionalspital Visp,Visp,CH
Kantonsspital Winterthur,Winterthur,CH
Kantonsspital Wolhusen,Wolhusen,CH
Spital Zollikerberg,Zollikerberg,CH
Zuger Kantonsspital AG,Zug,CH
STS AG Spital Zweisimmen,Zweisimmen,CH
Pathologie Medica Zürich,Zürich,CH
Stadtspital Triemli,Zürich,CH
Stadtspital Waid,Zürich,CH
Universitätsspital Zürich,Zürich,CH
University of Bern,Bern,
Fondazione Epatocentro Ticino,Lugano,CH
University of Turku,,
Offices of Peter Oehen MD,Biberist,CH
private practice,Biberist,CH
HES-SO University of Applied Sciences and Arts Western CH,Geneva,CH
Hochschule für Musik,Theater und Medien Hannover,
School of Health Sciences Geneva,,
Kantonspital Aarau,Aarau,CH
Traumatology,Basel,CH
Inselspital Bern,Bern,CH
University Hospital Geneva,Geneva,CH
Ospedale regionale die Lugano,Lugano,CH
Gesundheitsnetz Wallis,Sion,CH
Kantonspital St.Gallen,. Gallen,CH
Knatonsspital Winterthur,Winterthur,CH
University Hospital Zürich,Zürich,CH
University Children's Hospital Geneva,Geneva,CH
University Hospital Lausanne,Lausanne,CH
Children's Hospital of Eastern CH and Cantonal Hospital,St. Gallen,CH
University Children's Hospital Zurich,Zurich,CH
University Bern,Inselspital,
Children's Hospital of Eastern CH,St. Gallen,
University Children's Hospital,,
Universitätsspital Basel and SwissTPH,Basel,CH
Flepp,Zürich,CH
Furrer,Bern,CH
Nuesch,Basel,CH
Cavassini,Lausanne,CH
Opravil,Zürich,CH
Hirschel,Geneva,CH
Swiss HIV Cohort Study,,
Cantonal Hospital of St. Gallen,,
University Hospital Inselspital,Berne,
Anke Berger,Bern,CH
Bern University of Applied Sciences,,
Division of Infectious Diseases and Hospital Epidemiology,Basel,CH
The 2nd Second Affiliated Hospital of WMU Phase I Clinical Trial Unit /Center Of Bioequivalence Study,Wenzhou,CN
Genuine Research Center GRC,Cairo,EG
Genuine Research Center,,
Federal Institute of Technology Zurich,Basel,CH
University of Basel,Basel,CH
Kantonsspital,Baden,CH
University Hospitals,Bern,CH
Cantonal Hospital,Fribourg,CH
University Hospitals of Geneva,,
Ostschweizer Kinderspital,St. Gallen,CH
Centre Hospitalier Universitaire Vaudois,,
Clinical Trial Unit Lausanne,Lausanne,CH
CHUV and PMU,,
Hochgebirgsklinik Davos,CHDavosWolfgang,CH
HFR Tafers,CHTafers,CH
Interessengemeinschaft Osteoporose,,
Istituto Oncologico della Zvizzera Italiana,Bellinzona,CH
Inselspital,Bern,CH
Unite d'Oncogenetique et de Prevention des Cancers,Geneva,CH
Luzerner Kantonsspital,Luzern,CH
University of Lausanne Hospitals,Lausanne,CH
Center for Primary Care and Public Health (Unisanté) - University of Lausanne,,
University Children's Hospital Basel,Basel,CH
Kantonsspital Lucerne,Lucerne,CH
University Basel,Basel,CH
Private Practice,Basel,CH
University Hospital of Basel,Basel,CH
Anästhesie/chirurgische Intensivstation Luzerner Kantonsspital,,
Department for Surgery,Olten,CH
Psychiatric University Hospital,Basel,CH
Psychiatric Services Solothurn,Solothurn,CH
Solothurner Spitäler AG,,
Private Practice P.Gasser,Solothurn,CH
University Department of Medicine,Kantonsspital Aarau,
Oncology,Aarau,CH
Department of Oncology University Hospital Basel,Basel,CH
Dep. Oncology University Hospital Basel,,
Department of Psychosomatics/ Division of Medicine,,
Department of Neurosurgery,Basel,CH
Department of Orthopaedics,Basel,CH
Schulthess Klinik Zürich,Zürich,CH
Orthopädische Universitätsklinik Basel,,
Kantonsspital Baselland,Liestal,CH
University of Lucerne,Lucerne,CH
Frauenklinik University Hospital Basel,Basel,CH
Frauenklinik University Hospital Zürich,Zürich,CH
Frauenklinik Universitätsspital Basel,,
Medizinische Universität Graz Kardiologie,Graz,AT
Zentralklinik Bad Berka,Bad Berka,DE
Dept. Internal Medicine,Berlin,DE
Kardiologie,Berlin,DE
Immanuel Klinikum Bernau Herzzentrum Brandenburg,Bernau,DE
Klinikum Westfalen GmbH Knappschaftskrankenhaus,Dortmund,DE
Angiologie und internistische Intensivmedizin,Homburg/Saar,DE
University Hospital Jena,Jena,DE
Universitätsklinik,Leipzig,DE
University Hospital Ulm,Ulm,DE
Cardiology Cantonal Hospital Baselland Liestal,Liestal,CH
Herlev and Gentofte University Hospital,Copenhagen,DK
Herlev and Gentofte Hospital,,
Institute of Psychology,Basel,CH
Ruhr-Universität,Bochum,DE
University Eye Clinic,Basel,CH
Chief of department of diagnostics,,
Department of Research,Basel,CH
,Basel,CH
Diabetes & Clinical Nutrition,Dept of Internal Medicine,
University Eye Clinic Basel,,
Clinic for Transplantation Immunology and Nephrology,Basel,CH
Scottsdale Medical Imaging,Scottsdale,US
Silicon Valley Imaging,Freemont,US
Cedar-Sinai Medical Center,Los Angeles,US
VA West Los Angles Medical Center,Los Angeles,US
UCLA,Los Angeles,US
Stanford University Medical Center,Stanford,US
SouthCoast Imaging Center,Savannah,US
University of Michigan Health System,Ann Arbor,US
Saint Luke's Hospital,Kansas City,US
John Cochran Veterans Administration,Saint Louis,US
Saint Louis University,Saint Louis,US
Dartmouth-Hitchcock Medical Center,Lebanon,US
New York Presbyterian Weill Cornell,New York,US
University of Texas MD Anderson Cancer Center,Houston,US
University of Utah School of Medicine,Salt Lake,US
Peter MacCallum,Melbourne,AU
PET-CT Linz - St. Vicent's Hospital,Linz,AT
Hospitais da Universidade de Coimbra,Coimbra,PT
University Hospital Zurich,Zurich,CH
World Molecular Imaging Society,,
Monash Medical Center,Melbourne,AU
University Hospital Gent,Gent,BE
Instituto Dante Pazzanese,Sao Paulo,BR
Universitäres Herz- und Gefäßzentrum,Hamburg,DE
Thoraxcentrum,Rotterdam,NL
Auckland City Hospital,Auckland,NZ
Jagiellonian University,Krakow,PL
Novartis,,
Novartis Pharmaceuticals,,
Pfizer,,
Sanofi,,
Praxis Dr. med. Markus Gnaedinger,Steinach,CH
Zurich University Hospital,,
University Psychiatric Hospitals of the University of Basel,Basel,CH
Kinder- und Jugendpsychiatrische Klinik/Universitäre Psychiatrische Klinken Basel (UPK),,
Universitiy of Bern,Bern,CH
University of Berne,,
Krankenhaus der Elisabethinen Linz,Linz,AT
Hanusch Krankenhaus Wien,Wien,AT
Department for Medical Oncology University Hospital/Inselspital,Berne,CH
Dep. of Intensive Care Medicine Bern University Hospital,Bern,CH
University Hospitals Bern,,
Department of Intensive Care Medicine University Hospital Bern,,CH
CROSS Research SA,Arzo,CH
University Hospital (Inselspital) Berne,Bern,CH
CH - University Hospital (Inselspital) Bern,,
Hôpital de l'Enfance,Lausanne,CH
Hôpital de L'Enfance,,
University Hospital of Zurich,Zurich,CH
University of Zurich,,
Rämistrasse 100,Zurich,CH
Centre Hospitalier Universitaire Vaudois (CHUV),Lausanne,CH
Klin. Abteilung für pädiatrische Hämato-Onkologie,Graz,AT
Universitätsklinik für Pädiatrie I,Innsbruck,AT
Abteilung für Kinder- und Jugendheilkunde,Klagenfurt,AT
Med Campus IV / Onkologie,Linz,AT
Kinderonkologie,Salzburg,AT
St. Anna Kinderspital,Wien,AT
University Hospital Brno,Brno,CZ
University Hospital Motol,Prague,CZ
Aalborg Universitetshospital Nord,Aalborg,DK
Aarhus Universitetshospital Skejby,Aarhus,DK
Rigshospitalet,Ø Kobenhavn,DK
Odense Universitetshospital,Odense,DK
Dept of Pediatric Hematology and Oncology,Helsinki,FI
Paediatric Haematology and Oncology,Kuopio,FI
Paediatric and Adolescent Haematology and Oncology,Turku,FI
Hämatologie / Onkologie,Aachen,DE
Abt. Hämatologie / Onkologie,Berg,DE
Pädiatrische Hämatologie und Onkologie,Berlin,DE
Hämatologie und Onkologie,Bielefeld,DE
Abt. Päd. Hämatologie / Onkologie,Bonn,DE
Station K5 / Päd. Hämato- und Onkologie,Braunschweig,DE
Pädiatrische Onkologie und Hämatologie,Bremen,DE
Päd. Hämatologie und Onkologie,Chemnitz,DE
Universität Witten / Herdecke,Datteln,DE
Abt. Päd. Onkologie / Hämatologie,Dortmund,DE
Klinik für Kinder- und Jugendmedizin,Dresden,DE
Klinik für Päd. Hämatologie und Onkologie,Düsseldorf,DE
Päd. Onkologie / Hämatologie,Erfurt,DE
Pädiatrische Onkologie / Hämatologie,Erlangen,DE
Klinik IV: Päd. Hämatologie und Onkologie,Freiburg,DE
Zentrum für Kinderhämatologie und -onkologie,Gießen,DE
Abt. Pädiatrische Onkologie und Hämatologie,Greifswald,DE
Pädiatrie I,Göttingen,DE
Pädiatrische Hämatologie / Onkologie,Halle (Saale),DE
Abt. Pädiatrische Hämatologie und Onkologie,Hamburg,DE
Päd. Hämatologie / Onkologie,Hannover,DE
Geb. 9,Homburg,DE
Station S 24,Karlsruhe,DE
Klinik für pädiatrische Hämatologie und Onkologie,Kassel,DE
Päd. Hämatologie/Onkologie,Krefeld,DE
Abt. Kinderonkologie und -hämatologie,Köln,DE
Päd. Onkologie /Hämatologie,Mannheim,DE
Station E 22,Minden,DE
Station 24d,München,DE
Pädiatrische Hämatologie /Onkologie,Nürnberg,DE
SZT,Regensburg,DE
